mu_1,CW,mu_2,Fl2,mu_3,HCP
-27.036,-0.96,-32.619,-0.062,-37.607,-0.359
-25.727,0.207,-31.807,1.089,-36.533,1.284
-24.44,1.288,-30.721,2.556,-35.464,3.156
-23.534,2.816,-28.997,4.187,-34.425,4.635
-22.039,3.945,-28.21,5.945,-33.838,5.411
-20.81,5.084,-26.544,7.455,-33.114,6.296
-19.663,6.504,-25.702,9.212,-32.178,8.128
-18.292,8.166,-24.646,10.708,-31.15,9.957
-17.136,9.299,-22.785,12.927,-29.947,11.698
-15.952,10.52,-21.091,15.23,-28.947,13.265
-14.542,12.007,-19.066,17.395,-28.384,13.802
-13.454,13.262,-18.645,18.757,-27.757,15.026
-12.117,14.334,-17.294,20.392,-27.172,15.676
-10.934,15.661,-16.011,21.635,-26.585,16.647
-9.686,16.782,-14.832,23.631,-25.512,18.367
-8.4,18.163,-13.049,25.382,-24.401,20.293
-7.247,19.539,-12.003,26.77,-23.169,21.841
-5.959,20.901,-11.076,28.674,-22.084,23.489
-4.763,22.218,-9.899,29.99,-20.988,25.484
-3.536,23.191,,,-20.354,26.209
,,,,-19.853,27.172
,,,,-19.192,27.994
